"_id","group","item","_label","dist"
51975,3439,218,contains,
51976,3429,219,contains,
51977,3652,220,contains,
51978,3444,221,contains,
51979,3637,222,contains,
51980,3637,223,contains,
51981,3576,224,contains,
51982,3528,225,contains,
51983,3658,226,contains,
51984,3647,227,contains,
51985,3619,228,contains,
51986,3645,229,contains,
51987,3619,230,contains,
51988,3434,231,contains,
51989,3434,232,contains,
51990,3475,233,contains,
51991,3521,234,contains,
51992,3521,235,contains,
51993,3447,236,contains,
51994,3432,237,contains,
51995,3647,238,contains,
51996,3647,239,contains,
51997,3647,240,contains,
51998,3483,241,contains,
51999,3647,242,contains,
52000,3469,243,contains,
52001,3647,244,contains,
52002,3516,245,contains,
52003,3516,246,contains,
52004,3487,247,contains,
52005,3539,248,contains,
52006,3609,249,contains,
52007,3464,250,contains,
52008,3619,251,contains,
52009,3591,252,contains,
52010,3645,253,contains,
52011,3645,254,contains,
52012,3639,255,contains,
52013,3583,256,contains,
52014,3530,257,contains,
52015,3506,258,contains,
52016,3506,259,contains,
52017,3645,260,contains,
52018,3645,261,contains,
52019,3511,262,contains,
52020,3647,263,contains,
52021,3647,264,contains,
52022,3647,265,contains,
52023,3459,266,contains,
52024,3647,267,contains,
52025,3647,268,contains,
52026,3647,269,contains,
52027,3647,270,contains,
52028,3647,271,contains,
52029,3647,272,contains,
52030,3647,273,contains,
52031,3572,274,contains,
52032,3619,275,contains,
52033,3498,276,contains,
52034,3647,277,contains,
52035,3647,278,contains,
52036,3473,279,contains,
52037,3647,280,contains,
52038,3647,281,contains,
52039,3647,282,contains,
52040,3647,283,contains,
52041,3579,284,contains,
52042,3635,285,contains,
52043,3531,286,contains,
52044,3579,287,contains,
52045,3647,288,contains,
52046,3647,289,contains,
52047,3459,290,contains,
52048,3647,291,contains,
52049,3647,292,contains,
52050,3616,293,contains,
52051,3496,294,contains,
52052,3647,295,contains,
52053,3647,296,contains,
52054,3651,297,contains,
52055,3486,298,contains,
52056,3464,299,contains,
52057,3647,300,contains,
52058,3647,301,contains,
52059,3490,302,contains,
52060,3424,303,contains,
52061,3647,304,contains,
52062,3647,305,contains,
52063,3510,306,contains,
52064,3647,307,contains,
52065,3647,308,contains,
52066,3647,309,contains,
52067,3436,310,contains,
52068,3524,311,contains,
52069,3474,312,contains,
52070,3590,313,contains,
52071,3647,314,contains,
52072,3583,315,contains,
52073,3583,316,contains,
52074,3640,317,contains,
52075,3597,318,contains,
52076,3473,319,contains,
52077,3532,320,contains,
52078,3435,321,contains,
52079,3520,322,contains,
